------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HEADER,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Company,:,WHITE,OAK,ENERGY,,,,,,,,,,,,,,
Field,:,Wharton,"County,",TX,(NAD27),TXSCZ,,,,,,,,,,,,
Site,:,HC,Cockburn,#196,,,,,,,,,,,,,,
Well,Name,:,#196,,,,,,,,,,,,,,,
------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WELL,INFORMATION,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
API,number,:,,,,,,,,,,,,,,,,
Engineer,:,,,,,,,,,,,,,,,,,
State,:,,,,,,,,,,,,,,,,,
County,:,,,,,,,,,,,,,,,,,
Depth,Unit,:,usft,,,,,,,,,,,,,,,
Datum,elevation,:,87.8,,,,,,,,,,,,,,,
VSect.,Azimuth,:,157.05,,,,,,,,,,,,,,,
VSect.,North,:,0,,,,,,,,,,,,,,,
VSect.,East,:,0,,,,,,,,,,,,,,,
Survey,Name,:,Plan,#8,,,,,,,,,,,,,,
Survey,Date,:,1/1/1990,,,,,,,,,,,,,,,
Geomagnetic,Date:,1/3/2018,,,,,,,,,,,,,,,,
Extract,Date,:,5-Jan-18,,,,,,,,,,,,,,,
------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,58,5450,38.05,181.12,50,5191.5,894.31,-1089.74,-279.97,1125.13,194.41,8,2943305.438,E,487851.081,N,,
,59,5500,41.56,178.12,50,5229.91,923.87,-1121.73,-279.73,1156.09,194,8,2943305.681,E,487819.088,N,,
,60,5550,45.14,175.51,50,5266.27,956.16,-1155.99,-277.8,1188.9,193.51,8,2943307.612,E,487784.833,N,,
,61,5600,48.77,173.21,50,5300.4,991.04,-1192.34,-274.19,1223.46,192.95,8,2943311.222,E,487748.485,N,,
,62,5650,52.44,171.15,50,5332.13,1028.34,-1230.6,-268.92,1259.64,192.33,8,2943316.494,E,487710.219,N,,
,63,5700,56.14,169.29,50,5361.32,1067.86,-1270.6,-262.01,1297.33,191.65,8,2943323.402,E,487670.223,N,,
,64,5750,59.87,167.58,50,5387.81,1109.42,-1312.13,-253.5,1336.39,190.93,8,2943331.912,E,487628.692,N,,
,65,5800,63.62,166,50,5411.47,1152.82,-1354.99,-243.43,1376.69,190.18,8,2943341.982,E,487585.827,N,,
,66,5850,67.38,164.52,50,5432.2,1197.84,-1398.98,-231.85,1418.07,189.41,8,2943353.565,E,487541.838,N,,
,67,5900,71.16,163.11,50,5449.9,1244.27,-1443.88,-218.81,1460.37,188.62,8,2943366.603,E,487496.939,N,,
,68,5950,74.95,161.77,50,5464.47,1291.88,-1489.47,-204.38,1503.43,187.81,8,2943381.032,E,487451.348,N,,
,69,6000,78.75,160.48,50,5475.84,1340.44,-1535.53,-188.63,1547.08,187,8,2943396.783,E,487405.288,N,,
,70,6050,82.55,159.22,50,5483.97,1389.7,-1581.84,-171.63,1591.12,186.19,8,2943413.779,E,487358.983,N,,
,71,6100,86.35,157.98,50,5488.8,1439.44,-1628.16,-153.48,1635.38,185.38,8,2943431.936,E,487312.659,N,,
,72,6154.92,90.54,156.63,54.92,5490.29,1494.32,-1678.8,-132.3,1684,184.51,8,2943453.113,E,487262.025,N,,
,73,6200,90.54,156.63,45.08,5489.87,1539.4,-1720.18,-114.42,1723.98,183.81,0,2943470.995,E,487220.643,N,,
,74,6300,90.54,156.63,100,5488.93,1639.4,-1811.97,-74.75,1813.51,182.36,0,2943510.661,E,487128.851,N,,
,75,6400,90.54,156.63,100,5488,1739.39,-1903.76,-35.09,1904.09,181.06,0,2943550.327,E,487037.06,N,,
,76,6500,90.54,156.63,100,5487.06,1839.38,-1995.55,4.58,1995.56,179.87,0,2943589.993,E,486945.268,N,,
,77,6600,90.54,156.63,100,5486.13,1939.38,-2087.35,44.25,2087.82,178.79,0,2943629.658,E,486853.476,N,,
,78,6635.92,90.54,156.63,35.92,5485.79,1975.29,-2120.31,58.49,2121.12,178.42,0,2943643.905,E,486820.507,N,,
,79,6700,89.32,157.04,64.08,5485.87,2039.37,-2179.23,83.7,2180.84,177.8,2,2943669.115,E,486761.592,N,,
,80,6784.19,87.72,157.57,84.19,5488.05,2123.53,-2256.87,116.17,2259.86,177.05,2,2943701.586,E,486683.947,N,,
,81,6800,87.72,157.57,15.81,5488.67,2139.33,-2271.48,122.2,2274.76,176.92,0,2943707.612,E,486669.347,N,,
,82,6900,87.72,157.57,100,5492.64,2239.24,-2363.84,160.32,2369.27,176.12,0,2943745.731,E,486576.983,N,,
,83,7000,87.72,157.57,100,5496.62,2339.16,-2456.2,198.44,2464.21,175.38,0,2943783.851,E,486484.618,N,,
,84,7100,87.72,157.57,100,5500.59,2439.08,-2548.57,236.56,2559.52,174.7,0,2943821.97,E,486392.254,N,,
,85,7155.46,87.72,157.57,55.46,5502.79,2494.49,-2599.79,257.7,2612.54,174.34,0,2943843.112,E,486341.027,N,,
