Cabot Oil & Gas,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Thompson Ranch No. 11H,,,,,,,,,,,,,,,
"Frio County, Texas (NAD 27)",,,,,,,,,,,,,,,
North Reference: Grid,,,,,,,,,,,,,,,
KB-MSL: 554.30 ,,,,,,,,,,,,,,,
Ground Level: 526.30 ,,,,,,,,,,,,,,,
Design #2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 , , ,Course, ,Subsea, , , , , , ,Dogleg,,,
MD,INC,AZI,Length,TVD,Depth,N/-S,E/-W,X,Y,Lat,Long,Severity,T.Face,Vert Sec,
,,,,,,,,,,,,,,,
3962.85,3.01,167.25,94.11,3960.448,-3406.148,-110.639,34.54,2022806.802,315058.379,28° 41' 59.350806 N,98° 55' 43.889257 W,0.052,144.758,-49.957, 
4056.96,2.95,167.79,94.11,4054.431,-3500.131,-115.416,35.598,2022807.86,315053.602,28° 41' 59.303502 N,98° 55' 43.877415 W,0.07,155.195,-52.432, 
4151.07,2.95,171.2,94.11,4148.416,-3594.116,-120.176,36.48,2022808.742,315048.842,28° 41' 59.256364 N,98° 55' 43.867536 W,0.186,91.703,-55.024, 
4213.18,2.84,170.73,62.11,4210.447,-3656.147,-123.274,36.973,2022809.235,315045.744,28° 41' 59.225686 N,98° 55' 43.862028 W,0.181,191.943,-56.771, 
4294,2.73,168.72,80.82,4291.171,-3736.871,-127.137,37.672,2022809.934,315041.881,28° 41' 59.187426 N,98° 55' 43.854204 W,0.182,220.599,-58.887,"Tie-in, Begin 2.00°/100' Drop"
4300,2.61,168.72,6,4297.165,-3742.865,-127.412,37.726,2022809.988,315041.606,28° 41' 59.184712 N,98° 55' 43.853592 W,2,180,-59.033, 
4400,0.61,168.72,100,4397.12,-3842.82,-130.167,38.276,2022810.538,315038.851,28° 41' 59.157427 N,98° 55' 43.847440 W,2,180,-60.505, 
4430.5,0,0,30.5,4427.62,-3873.32,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,2,180,-60.59,Begin Vertical Hold
4500,0,0,69.5,4497.12,-3942.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
4600,0,0,100,4597.12,-4042.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
4700,0,0,100,4697.12,-4142.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
4800,0,0,100,4797.12,-4242.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
4900,0,0,100,4897.12,-4342.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5000,0,0,100,4997.12,-4442.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5100,0,0,100,5097.12,-4542.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5200,0,0,100,5197.12,-4642.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5300,0,0,100,5297.12,-4742.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5400,0,0,100,5397.12,-4842.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5500,0,0,100,5497.12,-4942.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5600,0,0,100,5597.12,-5042.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5700,0,0,100,5697.12,-5142.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5800,0,0,100,5797.12,-5242.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
5900,0,0,100,5897.12,-5342.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6000,0,0,100,5997.12,-5442.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
